,word,frequency
891,tracking,40.0
892,napping,19.0
893,nothin,18858.0
894,dimension,204.0
895,benzi,16.0
896,steamed,30.0
897,benzo,130.0
898,sorrys,13.0
899,bueller,23.0
900,recycled,13.0
901,wee_wee,73.0
902,parlay,126.0
903,werent_loyal,38.0
904,rover,409.0
905,tu_veux,53.0
906,solja,22.0
907,grounded,117.0
908,excuses,281.0
909,dicky,92.0
910,self_destruct,41.0
911,overthrow,67.0
912,haystack,19.0
913,mwen,92.0
914,zion,81.0
915,wifeys,37.0
916,rompi,16.0
917,decomposed,11.0
918,sums,48.0
919,unveil,21.0
920,sumo,65.0
921,sumn,109.0
922,traffic,852.0
923,preference,58.0
924,strivin,49.0
925,world,16500.0
926,postal,79.0
927,slanging_slanging,21.0
928,sensational,29.0
929,st_ides,28.0
930,homeroom,11.0
931,shutter,23.0
932,glamor,11.0
933,fogging,12.0
934,beamers,102.0
935,notorious_b,44.0
936,grub,96.0
937,tvt,14.0
938,gooses,14.0
939,tvs,198.0
940,magma,11.0
941,rottweilers,38.0
942,divine,442.0
943,bongos,15.0
944,ahhhhhhhhhh,13.0
945,scuffed,48.0
946,cavity,67.0
947,scottie,31.0
948,measurin,35.0
949,peter_parker,29.0
950,flockin,29.0
951,heatwave,11.0
952,911,314.0
953,squabble,46.0
954,woadie,24.0
955,andll,14.0
956,punisher,57.0
957,leadership,53.0
958,chorus_x2,30.0
959,thailand,23.0
960,petey,97.0
961,prepared,593.0
962,palmdale,17.0
963,calaso,2.0
964,hopkins,21.0
965,pelicans,19.0
966,joyner,33.0
967,impervious,11.0
968,johnnys,11.0
969,basin,38.0
970,skew,17.0
971,dope_fiends,162.0
972,antidote,122.0
973,skippin,195.0
974,lively,34.0
975,pivot,97.0
976,rosso,12.0
977,rossi,34.0
978,bubbly,161.0
979,misso,19.0
980,gleam,155.0
981,glean,11.0
982,lounging,69.0
983,rumbles,17.0
984,mindless,32.0
985,missy,198.0
986,sealed,182.0
987,brazilian,90.0
988,punished,49.0
989,bubble,953.0
990,yays,13.0
991,dormir,11.0
992,recording_studio,1.0
993,wits,62.0
994,yaya,20.0
995,foreheads,16.0
996,robot_rapper,42.0
997,thelma,17.0
998,with,178966.0
999,yayo,444.0
1000,swoll,153.0
1001,pull,12025.0
1002,rush,1337.0
1003,raga,42.0
1004,dirti,11.0
1005,rage,492.0
1006,swole,235.0
1007,pula,23.0
1008,pants_sag,55.0
1009,rags,272.0
1010,dirty,3881.0
1011,abuser,36.0
1012,abuses,12.0
1013,russ,29.0
1014,stockin,36.0
1015,pulp,55.0
1016,rust,86.0
1017,munde,23.0
1018,mundo,42.0
1019,watcher,21.0
1020,watched,532.0
1021,jargon,25.0
1022,tremble,48.0
1023,cream,1296.0
1024,yoga,165.0
1025,yogi,24.0
1026,freunde,11.0
1027,raris,97.0
1028,friggin,13.0
1029,puppy,106.0
1030,woodgrain,276.0
1031,hydraulics,71.0
1032,midget,214.0
1033,brotherhood,22.0
1034,drug_dealing,79.0
1035,tricky,105.0
1036,natalie,21.0
1037,thorn,112.0
1038,thoro,17.0
1039,dyed,36.0
1040,pence_boof,28.0
1041,hardaway,29.0
1042,zippin,27.0
1043,sco,30.0
1044,sci,15.0
1045,caused,187.0
1046,beware,358.0
1047,ceramic,14.0
1048,tight_jeans,83.0
1049,(im,13.0
1050,causes,99.0
1051,baddest,963.0
1052,cheney,19.0
1053,suckin_dick,69.0
1054,nore,63.0
1055,celph_titled,56.0
1056,midwest,432.0
1057,carters,18.0
1058,norm,119.0
1059,checkin,923.0
1060,floated,15.0
1061,baton,64.0
1062,7th_grade,31.0
1063,birkin_bag,51.0
1064,sant,12.0
1065,sans,118.0
1066,shenanigans,20.0
1067,adina,13.0
1068,sang,257.0
1069,sand,856.0
1070,sane,216.0
1071,frenchie,29.0
1072,sana,20.0
1073,small,1894.0
1074,sank,49.0
1075,quun,28.0
1076,pase,30.0
1077,quicker,362.0
1078,pasa,25.0
1079,paso,15.0
1080,190,12.0
1081,healed,41.0
1082,past,4076.0
1083,purple_rain,56.0
1084,displays,16.0
1085,pass,5871.0
1086,healer,20.0
1087,represent_represent,34.0
1088,investment,68.0
1089,clock,1313.0
1090,mumblin,77.0
1091,skywalker,37.0
1092,prevailed,11.0
1093,tina_turner,36.0
1094,leid,18.0
1095,full,2145.0
1096,hash,419.0
1097,diapers,70.0
1098,19s,11.0
1099,civilians,65.0
1100,hast,16.0
1101,worried_bout,197.0
1102,november,160.0
1103,zirconia,17.0
1104,vietnamese,34.0
1105,experience,317.0
1106,prior,94.0
1107,ohhhhh,137.0
1108,countin,2002.0
1109,followed,188.0
1110,adidas,304.0
1111,henn,109.0
1112,traumatized,69.0
1113,follower,60.0
1114,mobsters,101.0
1115,early_morn,61.0
1116,cynics,19.0
1117,attendance,53.0
1118,mort,35.0
1119,mork,15.0
1120,morn,203.0
1121,fragrance,91.0
1122,more,24199.0
1123,doot,3.0
1124,door,6968.0
1125,doos,32.0
1126,initiated,27.0
1127,tester,22.0
1128,kerosene,51.0
1129,corrected,36.0
1130,chucks,233.0
1131,tested,137.0
1132,nomad,12.0
1133,dranks,31.0
1134,dooo,54.0
1135,doom,301.0
1136,uncool,16.0
1137,writers_block,52.0
1138,negativity,94.0
1139,exposing,43.0
1140,leary,20.0
1141,pleasing,39.0
1142,bangkok,28.0
1143,centrifugal,11.0
1144,knocker,14.0
1145,hoppin_out,191.0
1146,learn,4179.0
1147,seagull,23.0
1148,scramble,101.0
1149,wimp,25.0
1150,wieder,79.0
1151,memoirs,20.0
1152,ponte,15.0
1153,meaner,75.0
1154,sike,58.0
1155,mehr,45.0
1156,8_mile,51.0
1157,huge,158.0
1158,hickey,68.0
1159,juve,60.0
1160,hens,16.0
1161,speedboat,29.0
1162,hugo,30.0
1163,hugh,48.0
1164,dismissed,81.0
1165,dile,32.0
1166,juvy,11.0
1167,outcasts,12.0
1168,sprinkle,192.0
1169,trendsetter,48.0
1170,intended,90.0
1171,sympathize,24.0
1172,playa_haters,93.0
1173,maltese,11.0
1174,avalon,24.0
1175,lanka,15.0
1176,malevolent,13.0
1177,si_tu,77.0
1178,preciate,17.0
1179,resemble,114.0
1180,muhammad_ali,54.0
1181,dolph,36.0
1182,replied,115.0
1183,wooly,18.0
1184,bocca,17.0
1185,akup_akup,24.0
1186,installed,22.0
1187,resorts,17.0
1188,papes,100.0
1189,paper,6982.0
1190,scott,336.0
1191,replies,21.0
1192,spirituals,11.0
1193,poppin_tags,82.0
1194,roots,387.0
1195,saucy,108.0
1196,papillon,13.0
1197,mistreated,29.0
1198,bangle,11.0
1199,elmo,18.0
1200,symptoms,66.0
1201,bypass,39.0
1202,isaac,32.0
1203,hvor,26.0
1204,sauce,649.0
1205,angered,12.0
1206,}_{,55.0
1207,muthaf,27.0
1208,gadget,57.0
1209,comstock,11.0
1210,idols,115.0
1211,everytime,4651.0
1212,faded_faded,61.0
1213,reactin,13.0
1214,denny,20.0
1215,courses,56.0
1216,piping,30.0
1217,shocking,71.0
1218,reactions,29.0
1219,brunette,26.0
1220,begged,72.0
1221,tu_sabes,25.0
1222,chrissy,17.0
1223,operation,153.0
1224,lipstick,229.0
1225,ernie,20.0
1226,scoops,30.0
1227,research,100.0
1228,shoe_fits,38.0
1229,endlich,16.0
1230,olds,6.0
1231,suntan,25.0
1232,definition,174.0
1233,south_park,92.0
1234,gal_dem,48.0
1235,ashton,44.0
1236,paire,16.0
1237,testament,90.0
1238,existential,11.0
