,Comp1,Comp2,Word,Topic
428,-15.20006241,6.030943445,blood,gangs
429,-4.671989414,22.33649563,dough,money
430,-17.89173482,-12.23225401,paint,clothes
431,16.22710115,-18.06757623,mama,family
432,-15.35380257,19.9403458,b,drugs
433,-25.27543725,-0.2855274093,poppin,violence
434,-8.996341062,17.23106155,4,Other
435,11.53436801,-7.743084189,understand,Other
436,-4.945307649,16.86704436,bill,money
437,9.061249425,-0.02032796348,fun,Other
438,4.464645328,-10.35959685,moment,Other
439,-8.111214653,22.3647108,spend,money
440,13.41994471,10.89086581,hater,Other
441,-15.31901627,9.8594167,back,Other
442,1.723666353,18.50064464,pen,prison
443,-3.856133307,2.572003906,from,Other
444,1.759226332,26.40269679,la,Other
445,-21.78314489,9.030036598,blowin,drugs
446,28.45179799,5.407720107,laugh,Other
447,2.823168204,-1.244790773,but,men
448,18.04476539,-5.132057968,wish,Other
449,13.07250624,10.91778154,hate,Other
450,-1.600945701,-0.6783976194,every,Other
451,-22.02385951,9.423748997,smokin,drugs
452,6.717481561,-2.668743263,me,Other
453,1.577848797,7.203777875,ma,women
454,7.999277206,-15.86778819,mr,Other
455,0.885303045,2.453680432,my,Other
456,-0.2772562783,-6.426141272,end,Other
457,17.61254828,9.979252453,gon,Other
458,14.53912162,-11.80752285,god,religion
459,1.174570337,1.342346278,got,Other
460,9.982930247,0.914941163,already,Other
461,20.79802681,-0.5689742688,took,hustle
462,6.828263335,19.13712847,flow,rap
463,-12.93531006,1.389200882,nut,sex
464,-5.267181024,8.470748106,boss,hustle
465,-6.321868908,6.279472792,beef,Other
466,17.39424731,3.105891841,been,Other
467,-13.44404967,-5.232068013,ice,clothes
468,-14.10074673,-15.11699062,head,sex
469,-6.953510641,6.40089774,heat,Other
470,16.51130272,-6.912255724,hear,Other
471,5.333077799,6.855207926,no,Other
472,-17.84943506,-8.885148936,bullet,violence
473,2.782227215,2.907964005,kind_of,Other
474,0.9410538661,8.099278195,huh,Other
475,-1.493690437,-1.095188162,any,Other
476,2.416917098,-2.155760605,TRUE,Other
477,5.171220679,-3.804765939,someone,love
478,-26.73007715,10.85180907,sippin,drugs
479,-0.5797398189,1.883505306,on,Other
480,1.651586925,11.99477564,oh,Other
481,-0.6943511777,0.3345730569,of,Other
482,-2.57978492,4.642188177,fuckin,curses
483,9.453314455,-7.397872284,woman,women
484,-10.63032252,14.82956228,ten,money
485,21.54775225,11.4747096,tryna,Other
486,21.81771533,7.466215225,might,Other
487,3.672801243,-13.79094346,watchin,Other
488,-21.28298798,1.744507901,breakin,Other
489,12.44377059,-3.919161208,no_matter,Other
490,7.329530156,8.099876442,theres,Other
491,2.109140318,14.53821503,lovin,love
492,-5.117657776,5.384667569,fucking,curses
493,-17.80241131,-13.85980534,fast,Other
494,-1.231269144,23.34278263,few,Other
495,2.850950811,0.1035904673,still,Other
496,-19.08898174,-0.2177465695,makin,Other
497,-17.95158524,-9.046152138,glock,violence
498,-1.37503543,-10.42455906,cross,Other
499,7.093427604,3.267296513,own,Other
500,-10.42463191,7.026787545,bitches,women
501,12.06528497,21.98685425,record,rap
502,-1.047945573,-2.560129819,other,Other
503,-8.881114593,15.14823662,four,Other
504,7.571402926,-16.44104764,callin,Other
505,-15.567566,19.12524521,k,drugs
506,-2.31929352,15.97633198,pullin,Other
507,-22.18117181,9.956786143,tree,drugs
508,23.53005646,-2.276165871,came,Other
509,-6.081890888,19.18124289,pocket,drugs
510,-1.310566349,-13.93666168,dyin,violence
511,14.36944652,-16.08296634,son,family
512,-4.305276277,-2.264004758,inside,Other
513,-0.1125596043,-7.355520355,leave,Other
514,-6.189068742,-5.618168249,sign,Other
515,12.23252444,11.08945187,fake,Other
516,-6.698145321,12.40842222,everywhere,Other
517,3.621527604,-0.8736066179,so,Other
